EventID,PhotoID,EventPhotoRank
35,68,1000
35,69,1000
35,70,1000
35,71,1000
35,72,1000
35,707,1000
35,766,1000
35,910,1000
35,1100,1000
35,3455,1000
35,3935,1000
35,5968,1000
35,8547,1000
35,9637,1000
35,9681,1000
35,14296,1000
35,14396,1000
35,14701,1000
35,17234,1000
35,21333,1000
35,21345,1000
35,21849,1000
35,21988,1000
35,23065,1000
35,24499,1000
35,24504,1000
35,24509,1000
35,24739,1000
36,73,1000
36,74,1000
36,75,1000
36,76,1000
36,77,1000
36,78,1000
36,771,1000
36,772,1000
36,4720,1000
36,23398,1000
37,15222,1000
38,1635,1000
38,2210,1000
39,3258,1000
42,12945,1000
43,12816,1000
44,2441,1000
44,2713,1000
44,2849,1000
44,2852,1000
44,2860,1000
44,2896,1000
44,3012,1000
44,3424,1000
44,12681,1000
44,13216,1000
44,13305,1000
44,13625,1000
44,18094,1000
45,2055,1000
45,2390,1000
45,3407,1000
45,12816,1000
45,15222,1000
46,80,1000
46,919,1000
46,15430,1000
46,22829,1000
46,22830,1000
46,24618,1000
46,24746,1000
47,81,1000
47,9227,1000
47,9636,1000
47,21384,1000
48,84,1000
48,296,1000
48,297,1000
48,525,1000
48,526,1000
48,527,1000
48,834,1000
48,922,2
48,977,1000
48,1193,1000
48,2762,1000
48,2792,1000
48,2793,1000
48,2918,1000
48,3588,1000
48,6179,1000
48,6699,1000
48,7243,1000
48,7721,1000
48,7722,1000
48,8252,1000
48,8901,1000
48,12145,1000
48,12210,1000
48,12796,1000
48,13854,1000
48,15135,1000
48,15136,1000
48,15137,1000
48,16468,1000
48,17031,1000
48,17032,1000
48,21365,1000
48,21382,1000
48,23401,1000
48,23403,1000
48,23404,1000
48,23405,1000
48,23407,1000
48,23409,1000
48,23500,1000
48,23501,1000
48,23502,1000
48,23503,1000
48,23504,1000
48,23505,1000
48,23507,1000
48,24607,1000
49,85,1000
49,86,1000
49,89,1000
49,90,1000
49,91,1000
49,858,1000
49,979,1000
49,2132,1000
49,2861,1000
49,3287,1000
49,5362,1000
49,11890,1000
49,12473,1000
49,13195,1000
49,13333,1000
49,13552,1000
49,14411,1000
49,14639,1000
49,21620,1000
49,23913,1000
50,92,1000
50,180,1000
50,181,1000
50,182,1000
50,183,1000
50,186,1000
50,520,1000
50,521,1000
50,558,1000
50,876,1000
50,878,1000
50,880,1000
50,881,1000
50,883,1000
50,884,1000
50,1209,1000
50,1397,1000
50,1403,1000
50,1803,1000
50,2249,1000
50,2791,1000
50,6079,1000
50,6878,1000
50,6887,1000
50,7090,1000
50,7886,1000
50,7887,1000
50,7888,1000
50,7890,1000
50,7891,1000
50,7892,1000
50,7902,1000
50,7903,1000
50,7905,1000
50,7906,1000
50,7907,1000
50,7909,1000
50,7910,1000
50,7911,1000
50,7912,1000
50,7914,1000
50,7915,1000
50,8057,1000
50,8058,1000
50,8059,1000
50,8060,1000
50,8061,1000
50,8067,1000
50,8068,1000
50,8069,1000
50,8076,1000
50,8984,1000
50,10472,1000
50,10473,1000
50,10474,1000
50,10475,1000
50,10476,1000
50,10479,1000
50,10480,1000
50,10482,1000
50,10485,1000
50,10486,1000
50,10487,1000
50,10488,1000
50,10490,1000
50,10491,1000
50,10781,1000
50,10860,1000
50,10867,1000
50,10900,1000
50,11258,1000
50,19201,1000
50,19202,1000
50,19203,1000
50,22324,1000
50,23349,1000
50,24337,1000
51,94,1000
51,95,1000
