EventID,PhotoID,EventPhotoRank,RandomValue
26,1124,1000,"0.547643,1124"
26,3979,1000,"0.553766,3979"
26,1125,1000,"0.557391,1125"
26,4350,1000,"0.573371,4350"
26,4086,1000,"-0.616708,4086"
26,23581,1000,"-0.617001,23581"
26,4355,1000,"0.620275,4355"
26,4088,1000,"-0.634951,4088"
26,870,1000,"-0.681962,870"
26,999,1000,"-0.772273,999"
26,5728,1000,"-0.851722,5728"
26,983,1000,"-0.876981,983"
26,14947,1000,"-0.897577,14947"
26,14946,1000,"-0.902671,14946"
26,14398,1000,"-0.949604,14398"
26,14396,1000,"-0.956676,14396"
26,1187,1000,"0.967808,1187"
26,7673,1000,"0.978986,7673"
26,7672,1000,"0.981304,7672"
26,688,1000,"0.981504,688"
26,14089,1000,"0.988236,14089"
26,17062,1000,"-0.998193,17062"
27,539,1000,"0.0207709,539"
27,4034,1000,"-0.0563504,4034"
27,531,1000,"-0.0727285,531"
27,3505,1000,"-0.151973,3505"
27,524,1000,"-0.154047,524"
27,792,1000,"0.161114,792"
27,1089,1000,"0.169377,1089"
27,522,1000,"-0.177114,522"
27,1095,1000,"0.238063,1095"
27,292,1000,"-0.27014,292"
27,293,1000,"-0.281382,293"
27,294,1000,"-0.292586,294"
27,295,1000,"-0.303749,295"
27,776,1000,"0.341911,776"
27,299,1000,"-0.347973,299"
27,775,1000,"0.352879,775"
27,774,1000,"0.363797,774"
27,23402,1000,"-0.373839,23402"
27,773,1000,"0.374667,773"
27,770,1000,"0.40696,770"
27,769,1000,"0.417616,769"
27,3455,1000,"0.418886,3455"
27,843,1000,"-0.421101,843"
27,768,1000,"0.428214,768"
27,844,1000,"-0.43168,844"
27,845,1000,"-0.4422,845"
27,5599,1000,"0.470164,5599"
27,3985,1000,"0.49402,3985"
27,14820,1000,"-0.515853,14820"
27,1028,1000,"-0.51691,1028"
27,1124,1000,"0.547643,1124"
27,3979,1000,"0.553766,3979"
27,4350,1000,"0.573371,4350"
27,54,1000,"0.590409,54"
27,55,1000,"0.599808,55"
27,4086,1000,"-0.616708,4086"
27,3434,1000,"0.627102,3434"
27,58,1000,"0.627508,58"
27,4088,1000,"-0.634951,4088"
27,59,1000,"0.636571,59"
27,478,1000,"-0.638588,478"
27,60,1000,"0.645547,60"
27,61,1000,"0.654435,61"
27,3967,1000,"0.664802,3967"
27,4232,1000,"-0.695757,4232"
27,67,1000,"0.70584,67"
27,68,1000,"0.714077,68"
27,7590,1000,"0.721124,7590"
27,69,1000,"0.722216,69"
27,70,1000,"0.730255,70"
27,71,1000,"0.738196,71"
27,72,1000,"0.746035,72"
27,5728,1000,"-0.851722,5728"
27,4119,1000,"-0.867677,4119"
27,983,1000,"-0.876981,983"
27,3936,1000,"0.886532,3936"
27,96,1000,"0.901309,96"
27,7350,1000,"-0.908658,7350"
27,707,1000,"0.915178,707"
27,19445,1000,"0.941593,19445"
27,14398,1000,"-0.949604,14398"
27,19448,1000,"0.952827,19448"
27,16763,1000,"0.956719,16763"
27,7673,1000,"0.978986,7673"
27,7672,1000,"0.981304,7672"
27,7671,1000,"0.983488,7671"
27,3902,1000,"0.996528,3902"
