EventID,MemberID,EventMemberRank
133,100,1000
133,118,1000
133,130,1000
133,203,1000
133,323,1000
133,398,1000
134,99,1000
134,100,1000
136,416,1000
137,416,1000
137,419,1000
137,472,1000
137,793,1000
138,323,1000
138,416,1000
138,737,1000
139,416,1000
139,418,1000
140,416,1000
141,430,1000
142,125,1000
142,323,1000
142,416,1000
142,430,1000
142,431,1000
142,432,1000
142,674,1000
143,135,1000
143,203,1000
143,430,1000
143,434,1000
143,1618,1000
144,205,1
145,125,1000
145,205,1000
146,205,1000
146,336,1000
147,135,1000
147,205,1000
148,205,1000
148,404,1000
149,458,1
150,300,1000
150,460,1000
150,461,1000
150,462,1000
151,125,1000
151,300,1000
151,442,1000
151,461,1000
151,463,1000
151,464,1000
152,100,1
153,100,2
153,106,2
154,100,2
154,106,2
155,100,3
155,106,3
156,100,3
156,106,3
157,100,3
157,106,3
158,100,3
159,100,5
160,100,1000
161,100,1000
161,335,1000
162,100,1000
163,100,1000
164,100,1000
165,100,1000
166,389,1000
167,389,1000
168,389,1000
169,389,1000
170,132,1000
170,389,1000
171,389,1000
172,96,1000
172,99,1000
172,100,1000
172,106,1000
172,107,1000
172,113,1000
172,114,1000
172,591,1000
173,99,1000
173,100,1000
173,112,1000
173,118,1000
173,455,1000
173,591,1000
174,114,1000
175,99,1000
175,115,1000
175,592,1000
175,594,1000
176,99,1000
176,100,1000
176,203,1000
176,595,1000
178,113,1000
179,99,1000
180,96,1000
181,118,1000
182,203,1000
183,203,1000
183,596,1000
184,96,1000
186,2679,1000
187,96,1000
187,99,1000
187,596,1000
188,106,1000
189,113,1000
190,591,1000
191,130,1000
192,597,1000
193,597,1000
194,597,1000
195,597,1000
196,597,1000
197,597,1000
198,259,1000
198,500,1
199,598,1
200,598,2
201,598,2
202,601,1
203,627,1000
203,628,1000
204,628,1000
205,309,1000
205,628,1000
206,308,1000
206,628,1000
207,628,1000
207,629,1000
208,130,1000
209,130,1000
210,130,1000
211,130,1000
212,633,2
213,634,2
214,183,1000
214,634,1000
215,634,1000
216,634,1000
217,431,1000
218,100,1000
218,431,1000
218,595,1000
219,431,1000
220,431,1000
220,638,1000
221,208,2
222,208,1000
222,275,1000
225,471,1000
226,163,1000
226,227,1000
226,253,1000
226,320,1000
226,336,1000
226,362,1000
226,391,1000
226,440,1000
226,503,1000
226,597,1000
226,649,1000
227,166,1000
227,227,1000
227,252,1000
228,227,1000
228,274,1000
229,227,1000
230,227,1000
230,650,1000
231,130,1000
231,227,1000
231,431,1000
232,227,1000
232,651,1000
233,227,1000
233,432,1000
233,660,1000
233,919,1000
233,971,1000
233,1355,1000
234,102,1000
234,652,1000
235,166,1000
235,329,1000
236,329,1000
236,653,2
237,653,1000
238,653,1000
239,624,1000
239,653,1000
240,654,1000
241,654,1000
242,654,1000
243,654,1000
244,163,1000
244,336,1000
244,654,1000
244,655,1000
245,114,1000
245,336,1000
246,336,1000
247,336,1000
248,114,1000
248,336,1000
249,336,1000
250,335,1
251,335,2
252,335,3
253,335,4
254,113,1000
254,115,1000
255,113,1000
255,203,1000
256,113,1000
257,99,1000
257,113,1000
257,335,1000
257,656,1000
257,667,1000
257,2239,1000
257,2373,1000
258,100,1000
258,113,1000
259,100,1000
259,113,1000
259,115,1000
259,631,1000
261,404,1
262,115,1
263,115,1000
263,630,1000
264,111,1000
264,115,1000
264,659,1000
265,113,1000
265,115,1000
265,131,1000
265,165,1000
266,114,1000
266,115,1000
267,660,1
268,660,1000
269,661,1
270,661,2
271,661,3
272,661,4
273,661,5
274,661,6
275,661,2
276,661,8
277,661,9
278,159,1
279,159,2
280,159,1000
281,159,1000
282,159,1000
283,397,1000
283,663,1
284,664,1000
285,664,1000
286,664,1000
287,665,1000
289,119,1000
290,99,1000
290,667,1000
291,284,1000
292,100,1000
292,284,1000
293,118,1000
293,166,1000
293,431,1000
293,668,1000
294,118,1000
294,166,1000
294,431,1000
294,668,1000
295,118,1000
295,166,1000
295,431,1000
295,668,1000
296,166,1
297,322,1
298,322,1000
299,322,2
299,337,1000
299,366,1000
300,121,1000
300,322,1000
301,322,1000
301,534,1000
302,337,1000
302,669,1000
303,322,1000
303,534,1000
304,322,1000
304,670,1000
305,322,1000
305,534,1000
306,348,1
307,348,1000
308,96,1000
308,671,1000
309,671,1000
310,337,1000
310,671,1000
311,671,1000
312,671,2
314,253,1000
318,253,1000
319,153,1000
319,253,1000
319,342,1000
319,363,1000
319,638,1000
319,675,1000
319,677,1000
320,253,1000
320,638,1000
322,253,1000
322,672,1000
323,130,1000
323,253,1000
324,253,1000
324,443,1000
328,673,1000
329,434,1000
329,443,1000
329,674,1000
329,675,1000
330,2047,1000
330,2056,1000
330,2317,1000
330,2891,1000
331,253,1000
343,238,1000
343,630,1000
345,100,1000
346,676,1000
347,253,1000
347,677,1000
347,678,1000
349,253,1000
352,253,1000
356,152,1000
360,253,1000
367,142,1000
368,142,1000
369,142,1000
369,284,1000
370,119,1
371,119,1000
372,100,1000
372,119,1000
373,119,1000
374,119,1000
374,129,1000
374,231,1000
374,275,1000
374,510,1000
374,511,1000
375,491,1
375,570,1
375,679,1
375,680,1
375,681,1
375,682,1
375,685,1
375,686,1
375,687,1000
375,688,1000
375,689,1000
375,690,1
375,691,1
375,692,1000
375,693,1000
376,491,2
376,570,2
376,679,2
376,680,2
376,681,2
376,685,2
376,686,2
376,687,2
376,688,2
376,689,2
376,690,2
376,691,2
376,692,2
376,693,2
376,722,1000
377,491,1
377,570,1
377,679,1
377,680,1
377,681,1
377,682,1
377,685,1
377,686,1
377,687,1
377,689,1
377,690,1
377,691,1
377,692,1
377,722,1000
378,491,1000
378,570,1000
378,679,1000
378,680,1000
378,681,1000
378,682,1000
378,685,1000
378,686,1000
378,687,1000
378,688,1000
378,689,1000
378,690,1000
378,691,1000
378,692,1000
378,693,1000
379,679,1000
379,680,1000
380,679,1000
380,680,1000
380,681,1000
381,680,1000
382,339,1
383,339,1000
384,339,1000
385,339,1000
386,114,1
387,113,1000
387,114,1000
388,114,1000
389,114,1000
390,114,1000
391,114,1000
391,115,1000
392,114,1000
393,114,1000
394,114,1000
395,343,1000
395,694,1000
396,343,1000
